,Name,Credit Score,Loan Type,Loan Amount,Loan Term,Interest Rate,EMI,Days Left to Pay Current EMI,Delayed Payment,Payment Dates,Payment Modes,Outstanding Balance
0,Khushi Balan,491,Auto Loan,34398,15,0.16,2545.36,2,No,"['2023-5-3', '2023-6-20', '2023-7-9', '2023-8-24', '2023-9-21', '2023-10-20', '2023-11-2', '2023-12-3', '2024-1-13']","['Cash', 'Credit Card', 'Debit Card', 'Net Banking', 'UPI', 'Cash', 'Credit Card', 'Credit Card', 'UPI']",11489.759999999998
1,Umang Chatterjee,325,Personal Loan,96856,9,0.2,11678.35,4,Yes,"['2023-5-1', '2023-5-7', '2023-6-6', '2023-7-21', '2023-8-21', '2023-9-4']","['Debit Card', 'Net Banking', 'Net Banking', 'Net Banking', 'Debit Card', 'Debit Card']",26785.899999999994
2,Adira Dara,624,Auto Loan,91301,10,0.16,9812.94,7,No,"['2023-5-7', '2023-6-3', '2023-7-3', '2023-8-12', '2023-9-28', '2023-10-17', '2023-11-16', '2023-12-17']","['Net Banking', 'Net Banking', 'UPI', 'Net Banking', 'Debit Card', 'Cash', 'Debit Card', 'Cash']",12797.479999999996
3,Anvi Saini,346,Home Loan,78981,14,0.28,6678.01,7,Yes,"['2023-5-10', '2023-6-19', '2023-7-6', '2023-8-1', '2023-8-4', '2023-9-27', '2023-10-1', '2023-10-11', '2023-11-26', '2023-12-3', '2024-1-26']","['UPI', 'Net Banking', 'Cash', 'Debit Card', 'Cash', 'Credit Card', 'Debit Card', 'Net Banking', 'Debit Card', 'Cash', 'UPI']",5522.889999999999
4,Kartik Kade,321,Home Loan,89953,1,0.29,92126.86,11,No,[],[],89953.0
5,Rohan Sekhon,760,Auto Loan,14147,2,0.29,7330.93,9,No,"['2023-5-25', '2023-6-17']","['Debit Card', 'Debit Card']",-514.8600000000006
6,Purab Randhawa,658,Personal Loan,69922,10,0.29,7954.84,6,Yes,['2023-5-12'],['Credit Card'],61967.16
7,Vardaniya Roy,441,Personal Loan,75349,6,0.15,13113.27,7,Yes,"['2023-5-6', '2023-6-24', '2023-7-20', '2023-8-4']","['Credit Card', 'Net Banking', 'Cash', 'Cash']",22895.92
8,Piya Ravi,355,Auto Loan,68574,13,0.28,6176.18,14,Yes,"['2023-5-22', '2023-6-26', '2023-7-24', '2023-8-10', '2023-9-9', '2023-10-21', '2023-11-16', '2023-12-23', '2024-1-4']","['UPI', 'Net Banking', 'Net Banking', 'UPI', 'Debit Card', 'Credit Card', 'Net Banking', 'Debit Card', 'Debit Card']",12988.379999999997
9,Rati Swaminathan,502,Home Loan,39789,10,0.26,4468.29,1,No,"['2023-5-17', '2023-6-8', '2023-7-5', '2023-8-13']","['UPI', 'Cash', 'Debit Card', 'Credit Card']",21915.84
